Stream,CollDate,Diff
CHUCK,2017,574.074074074074
LOON,2017,511.1111111111111
MCTE,2017,-1089.1725624429141
W-100,2017,1422.2222222222222
W-113,2017,-62.96296296296294
CHUCK,2018,-362.96296250237214
LOON,2018,132.2751322751323
MCTE,2018,6597.707229950191
W-100,2018,412.96296322874093
W-113,2018,-124.44444690665283
