Number,Stream,Reach,Watershed,Wetted Average (m),Bankfull Average (m),Bedrock Ave (%),Boulder Ave (%),Cobble Ave (%),Pebble Ave (%),Gravel Ave (%),Fine Ave (%),Large Wood (m3/100m),Pool Area (M2),% Pool Area,Canopy Cover,Canopy Openness,Gradient (%)
19,LO701,SHADE,LO,4.91,9.85,0,60.91,25,8.18,4.09,1.82,26.91,197,40.15,79.84,20.16,7.1
20,LO701,SUN,LO,4.91,9.85,0,60.91,25,8.18,4.09,1.82,26.91,197,40.15,79.84,20.16,7.1
21,LO701,REF,LO,5.61,9.04,0,45,25,11.36,10,8.64,8.52,237.9,42.41,89.55,10.45,6
22,LO703,SHADE,LO,4.2,7.82,0,54.5,32.5,8.5,4.5,0,15.7,63.6,16.84,66,34,6.4
23,LO703,SUN,LO,4.2,7.82,0,54.5,32.5,8.5,4.5,0,15.7,63.6,16.84,66,34,6.4
24,LO703,REF,LO,4.44,7.39,0,53.18,34.09,8.18,4.55,0,5.45,61.5,15.4,46.23,53.77,6.4
25,MR404,SHADE,MC,4.02,10.43,0,49.5,25.5,14,8.5,2.5,71.22,148.3,40.99,71.03,28.98,7.6
26,MR404,SUN,MC,3.76,8.61,0,46.5,30,13.5,7.5,2.5,2.35,64.9,19.17,67.3,32.7,4
27,MR404,REF,MC,3.76,8.61,0,46.5,30,13.5,7.5,2.5,2.35,64.9,19.17,67.3,32.7,4
