"","Time.Reach","Portion.Taxon","Sum_Count","Sum_CellCount","Sum_Het"
"70","Post_2_Reference","Algae Nostoc",19531.7725752508,368026.755852843,0
"71","Post_2_Reference","Algae Sheathia",582020.066889632,4995879.59866221,0
"72","Post_2_Reference","Algae Undetermined Rhodophyte",15812.7090301003,144080.267558529,0
"73","Post_2_Reference","Diatoms Achnanthidium minutissimum",2809.36454849498,2809.36454849498,NA
"74","Post_2_Reference","Diatoms Adlafia langebertalotii",31768.0267558529,31768.0267558529,NA
"75","Post_2_Reference","Diatoms Caloneis bacillum",528.695652173914,528.695652173914,NA
"76","Post_2_Reference","Diatoms Cocconeis placentula sensu lato",8389.83277591974,8389.83277591974,NA
"77","Post_2_Reference","Diatoms Cymbella affinis",264.347826086957,264.347826086957,NA
"78","Post_2_Reference","Diatoms Diatoma mesodon",49516.7892976589,49516.7892976589,NA
"79","Post_2_Reference","Diatoms Encyonema",401.33779264214,401.33779264214,NA
"80","Post_2_Reference","Diatoms Epithemia",1586.08695652174,1586.08695652174,NA
"81","Post_2_Reference","Diatoms Epithemia argus",1204.01337792642,1204.01337792642,NA
"82","Post_2_Reference","Diatoms Epithemia turgida",3237.19063545151,3237.19063545151,NA
"83","Post_2_Reference","Diatoms Eunotia",74741.9397993311,74741.9397993311,NA
"84","Post_2_Reference","Diatoms Eunotia bidens",8111.03678929766,8111.03678929766,NA
"85","Post_2_Reference","Diatoms Eunotia canicula",15234.2474916388,15234.2474916388,NA
"86","Post_2_Reference","Diatoms Eunotia incisa",12208.6956521739,12208.6956521739,NA
"87","Post_2_Reference","Diatoms Eunotia minor",8788.76254180602,8788.76254180602,NA
"88","Post_2_Reference","Diatoms Eunotia perpusilla",50848.1605351171,50848.1605351171,NA
"89","Post_2_Reference","Diatoms Fragilaria",2444.14715719064,2444.14715719064,NA
"90","Post_2_Reference","Diatoms Fragilaria tenera",20286.0200668896,20286.0200668896,NA
"91","Post_2_Reference","Diatoms Frustulia krammeri",1617.39130434783,1617.39130434783,NA
"92","Post_2_Reference","Diatoms Gomphonema",802.67558528428,802.67558528428,NA
"93","Post_2_Reference","Diatoms Gomphonema pumilum v. rigidum",146962.675585284,146962.675585284,NA
"94","Post_2_Reference","Diatoms Gomphosphenia americana",13196.254180602,13196.254180602,NA
"95","Post_2_Reference","Diatoms Humidophila perpusilla",1204.01337792642,1204.01337792642,NA
"96","Post_2_Reference","Diatoms Karayevia suchlandtii",186305.819397993,186305.819397993,NA
"97","Post_2_Reference","Diatoms Mayamaea atomus",1204.01337792642,1204.01337792642,NA
"98","Post_2_Reference","Diatoms Meridion circulare",48870.3678929766,48870.3678929766,NA
"99","Post_2_Reference","Diatoms Navicula cryptocephala",2845.48494983278,2845.48494983278,NA
"100","Post_2_Reference","Diatoms Navicula cryptotenella",45443.4782608696,45443.4782608696,NA
"101","Post_2_Reference","Diatoms Navicula notha",264.347826086957,264.347826086957,NA
"102","Post_2_Reference","Diatoms Navicula reichardtiana",10581.4046822742,10581.4046822742,NA
"103","Post_2_Reference","Diatoms Navicula rostellata",401.33779264214,401.33779264214,NA
"104","Post_2_Reference","Diatoms Nitzschia archibaldii",401.33779264214,401.33779264214,NA
"105","Post_2_Reference","Diatoms Nitzschia frustulum",802.67558528428,802.67558528428,NA
"106","Post_2_Reference","Diatoms Nitzschia inconspicua",814.715719063546,814.715719063546,NA
"107","Post_2_Reference","Diatoms Nitzschia linearis",814.715719063546,814.715719063546,NA
"108","Post_2_Reference","Diatoms Nitzschia palea",401.33779264214,401.33779264214,NA
"109","Post_2_Reference","Diatoms Planothidium",4844.94983277592,4844.94983277592,NA
"110","Post_2_Reference","Diatoms Planothidium frequentissimum",3501.53846153846,3501.53846153846,NA
"111","Post_2_Reference","Diatoms Planothidium lanceolatum",46594.2474916388,46594.2474916388,NA
"112","Post_2_Reference","Diatoms Psammothidium daonense",7940.33444816054,7940.33444816054,NA
"113","Post_2_Reference","Diatoms Pseudostaurosira pseudoconstruens",401.33779264214,401.33779264214,NA
"114","Post_2_Reference","Diatoms Rhopalodia",802.67558528428,802.67558528428,NA
"115","Post_2_Reference","Diatoms Rossithidium nodosum",22679.3311036789,22679.3311036789,NA
"116","Post_2_Reference","Diatoms Rossithidium petersenii",18786.3545150502,18786.3545150502,NA
"117","Post_2_Reference","Diatoms Sellaphora atomoides",4061.53846153846,4061.53846153846,NA
"118","Post_2_Reference","Diatoms Sellaphora difficillima",21307.0234113712,21307.0234113712,NA
"119","Post_2_Reference","Diatoms Staurosira",401.33779264214,401.33779264214,NA
"120","Post_2_Reference","Diatoms Ulnaria contracta",1617.39130434783,1617.39130434783,NA
"121","Post_2_Treatment","Algae Calothrix",14259.8095170414,180153.973478068,0
"122","Post_2_Treatment","Algae Draparnaldia",1227534.30721558,138711376.715361,0
"123","Post_2_Treatment","Algae Leptolyngbya",3812.70903010033,285953.177257525,0
"124","Post_2_Treatment","Algae Pseudanabaena",5223.55024347055,47011.952191235,0
"125","Post_2_Treatment","Algae Sheathia",7625.41806020067,95317.7257525084,0
"126","Post_2_Treatment","Algae Undetermined Rhodophyte",3812.70903010033,15250.8361204013,0
"127","Post_2_Treatment","Diatoms Achnanthidium pyrenaicum",725.602064551967,725.602064551967,NA
"128","Post_2_Treatment","Diatoms Adlafia langebertalotii",5249.81797347471,5249.81797347471,NA
"129","Post_2_Treatment","Diatoms Amphora pediculus",15374.0046672022,15374.0046672022,NA
"130","Post_2_Treatment","Diatoms Cocconeis placentula sensu lato",29977.5199474227,29977.5199474227,NA
"131","Post_2_Treatment","Diatoms Diatoma mesodon",95566.7728370729,95566.7728370729,NA
"132","Post_2_Treatment","Diatoms Eunotia",95135.3421024912,95135.3421024912,NA
"133","Post_2_Treatment","Diatoms Eunotia bidens",19217.5058340028,19217.5058340028,NA
"134","Post_2_Treatment","Diatoms Eunotia canicula",341.207043221889,341.207043221889,NA
"135","Post_2_Treatment","Diatoms Eunotia incisa",5208.32933968811,5208.32933968811,NA
"136","Post_2_Treatment","Diatoms Eunotia minor",4184.70821002244,4184.70821002244,NA
"137","Post_2_Treatment","Diatoms Eunotia perpusilla",88604.9235215235,88604.9235215235,NA
"138","Post_2_Treatment","Diatoms Fragilaria amphicelaphaloides",3628.01032275983,3628.01032275983,NA
"139","Post_2_Treatment","Diatoms Fragilaria tenera",19217.5058340028,19217.5058340028,NA
"140","Post_2_Treatment","Diatoms Frustulia krammeri",7687.00233360111,7687.00233360111,NA
"141","Post_2_Treatment","Diatoms Gomphonema pumilum v. rigidum",213594.217763078,213594.217763078,NA
"142","Post_2_Treatment","Diatoms Gomphosphenia americana",30827.1388668342,30827.1388668342,NA
"143","Post_2_Treatment","Diatoms Humidophila perpusilla",3843.50116680056,3843.50116680056,NA
"144","Post_2_Treatment","Diatoms Karayevia suchlandtii",333836.109781382,333836.109781382,NA
"145","Post_2_Treatment","Diatoms Meridion circulare",79558.6400944998,79558.6400944998,NA
"146","Post_2_Treatment","Diatoms Navicula capitatoradiata",3843.50116680056,3843.50116680056,NA
"147","Post_2_Treatment","Diatoms Navicula cryptocephala",725.602064551967,725.602064551967,NA
"148","Post_2_Treatment","Diatoms Navicula cryptotenella",53801.7699114212,53801.7699114212,NA
"149","Post_2_Treatment","Diatoms Nitzschia",170.603521610945,170.603521610945,NA
"150","Post_2_Treatment","Diatoms Nitzschia dissipata",40611.8178616615,40611.8178616615,NA
"151","Post_2_Treatment","Diatoms Nitzschia linearis",8412.60439815308,8412.60439815308,NA
"152","Post_2_Treatment","Diatoms Planothidium",4353.6123873118,4353.6123873118,NA
"153","Post_2_Treatment","Diatoms Planothidium frequentissimum",20668.7099631067,20668.7099631067,NA
"154","Post_2_Treatment","Diatoms Planothidium lanceolatum",543844.607106808,543844.607106808,NA
"155","Post_2_Treatment","Diatoms Psammothidium daonense",10887.4296569227,10887.4296569227,NA
"156","Post_2_Treatment","Diatoms Rossithidium nodosum",12597.3126081755,12597.3126081755,NA
"157","Post_2_Treatment","Diatoms Rossithidium petersenii",9820.62054914882,9820.62054914882,NA
"158","Post_2_Treatment","Diatoms Sellaphora atomoides",19217.5058340028,19217.5058340028,NA
"159","Post_2_Treatment","Diatoms Sellaphora difficillima",170.603521610945,170.603521610945,NA
"160","Post_2_Treatment","Diatoms Ulnaria contracta",34376.0196571643,34376.0196571643,NA
"161","Pre_Reference","Algae Calothrix",55823.1445878666,3050718.18987806,25212.8501733608
"162","Pre_Reference","Algae Chamaesiphon",12232.7055095934,267258.581235699,0
"163","Pre_Reference","Algae Homoeothrix",20664.3551900832,482682.949280477,0
"164","Pre_Reference","Algae Leptolyngbya",4314.81083734774,149407.627872726,0
"165","Pre_Reference","Algae Nostoc",909.698996655521,272909.698996656,0
"166","Pre_Reference","Algae Sheathia",215711.237684282,3827508.39188733,0
"167","Pre_Reference","Algae Synechococcus",2020947.36842105,40418947.368421,0
"168","Pre_Reference","Algae Undetermined Rhodophyte",93969.7527086103,481203.79374997,0
"169","Pre_Reference","Diatoms Achnanthidium minutissimum",7942.65236728327,7942.65236728327,NA
"170","Pre_Reference","Diatoms Adlafia langebertalotii",74586.7262192178,74586.7262192178,NA
"171","Pre_Reference","Diatoms Cocconeis pediculus",607.664547173055,607.664547173055,NA
"172","Pre_Reference","Diatoms Cocconeis placentula sensu lato",2962.56550696259,2962.56550696259,NA
"173","Pre_Reference","Diatoms Cyclotella",371.403508771929,371.403508771929,NA
"174","Pre_Reference","Diatoms Diatoma mesodon",1586.73260311804,1586.73260311804,NA
"175","Pre_Reference","Diatoms Encyonema silesiacum",371.403508771929,371.403508771929,NA
"176","Pre_Reference","Diatoms Epithemia",9859.38194109126,9859.38194109126,NA
"177","Pre_Reference","Diatoms Epithemia smithii",3418.71559633028,3418.71559633028,NA
"178","Pre_Reference","Diatoms Eunotia",1114.21052631579,1114.21052631579,NA
"179","Pre_Reference","Diatoms Eunotia bidens",742.807017543859,742.807017543859,NA
"180","Pre_Reference","Diatoms Eunotia bilunaris",607.664547173055,607.664547173055,NA
"181","Pre_Reference","Diatoms Eunotia canicula",371.403508771929,371.403508771929,NA
"182","Pre_Reference","Diatoms Eunotia perpusilla",742.807017543859,742.807017543859,NA
"183","Pre_Reference","Diatoms Fragilaria",607.664547173055,607.664547173055,NA
"184","Pre_Reference","Diatoms Gomphonema",13260.1188340354,13260.1188340354,NA
"185","Pre_Reference","Diatoms Gomphonema duplipunctatum",371.403508771929,371.403508771929,NA
"186","Pre_Reference","Diatoms Gomphonema minusculum",2279.14373088685,2279.14373088685,NA
"187","Pre_Reference","Diatoms Gomphonema pumilum v. rigidum",537720.066184008,537720.066184008,NA
"188","Pre_Reference","Diatoms Gomphonema stoermeri",1586.73260311804,1586.73260311804,NA
"189","Pre_Reference","Diatoms Gomphosphenia",371.403508771929,371.403508771929,NA
"190","Pre_Reference","Diatoms Karayevia suchlandtii",258093.674915977,258093.674915977,NA
"191","Pre_Reference","Diatoms Mayamaea atomus",4558.2874617737,4558.2874617737,NA
"192","Pre_Reference","Diatoms Meridion circulare",33975.929475549,33975.929475549,NA
"193","Pre_Reference","Diatoms Navicula cryptotenella",371.403508771929,371.403508771929,NA
"194","Pre_Reference","Diatoms Navicula cryptotenelloides",1586.73260311804,1586.73260311804,NA
